# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,
# Tue Nov 24 00:36:12 2020,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# COLUMN kepid:          KepID,,,,,,,,,,,,,,,,,,,
# COLUMN kepler_name:    Kepler Name,,,,,,,,,,,,,,,,,,,
# COLUMN koi_disposition: Exoplanet Archive Disposition,,,,,,,,,,,,,,,,,,,
# COLUMN koi_period:     Orbital Period [days],,,,,,,,,,,,,,,,,,,
# COLUMN koi_eccen:      Eccentricity,,,,,,,,,,,,,,,,,,,
# COLUMN koi_impact:     Impact Parameter,,,,,,,,,,,,,,,,,,,
# COLUMN koi_duration:   Transit Duration [hrs],,,,,,,,,,,,,,,,,,,
# COLUMN koi_depth:      Transit Depth [ppm],,,,,,,,,,,,,,,,,,,
# COLUMN koi_prad:       Planetary Radius [Earth radii],,,,,,,,,,,,,,,,,,,
# COLUMN koi_insol:      Insolation Flux [Earth flux],,,,,,,,,,,,,,,,,,,
# COLUMN koi_model_snr:  Transit Signal-to-Noise,,,,,,,,,,,,,,,,,,Confirmed,2358
# COLUMN koi_steff:      Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,Candidate,2366
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,,,,,False Positive,4840
# COLUMN koi_smet:       Stellar Metallicity [dex],,,,,,,,,,,,,,,,,,,
# COLUMN koi_srad:       Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,9564
# COLUMN koi_smass:      Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,
# COLUMN koi_sage:       Stellar Age [Gyr],,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
kepid,kepler_name,koi_disposition,koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,,,
11018648,Kepler-230 c,CONFIRMED,91.7732862,0,0.606,6.473,6.52E+02,2.12,3.92,19.1,5586,4.56,-0.3,0.798,0.844,,,,
11138155,,CANDIDATE,4.959319244,0,0.831,2.22739,9.80E+03,12.21,349.4,696.5,5712,4.359,0.1,1.082,0.976,,,,
11152159,,FALSE POSITIVE,2.701287801,0,1.016,3.3827,8.60E+02,6.54,527.81,48.3,5550,4.468,-0.04,0.91,0.889,,,,
11153539,Kepler-666 b,CONFIRMED,4.49876511,0,0.312,3.7362,4.60E+02,2.1,389.62,29.5,6075,4.486,-0.12,0.969,1.048,,,,
11242721,,FALSE POSITIVE,19.65120951,0,0.723,5.2514,1.18E+04,12.42,67.03,513.4,6074,4.391,-0.12,1.063,1.014,,,,
9579641,Kepler-105 b,CONFIRMED,5.412203927,0,0.787,2.9472,6.02E+02,2.94,337.68,166.7,5779,4.339,-0.06,1.087,0.941,,,,
11304958,Kepler-667 b,CONFIRMED,41.43958662,0,0.355,10.5989,2.79E+03,5.5,16.72,141.1,5468,4.367,0.22,1.046,0.93,,,,
11391957,Kepler-668 b,CONFIRMED,8.35389523,0,0.023,2.2514,1.04E+03,2.52,91.9,43.4,5592,4.582,-0.28,0.787,0.862,,,,
11403044,Kepler-669 b,CONFIRMED,4.125543472,0,0.597,3.1744,1.49E+03,4.43,565.35,128.6,6174,4.417,0.1,1.103,1.162,,,,
11414511,Kepler-670 b,CONFIRMED,2.816504904,0,0.105,2.50587,1.68E+04,12.21,521.13,1406.8,5532,4.452,0.14,0.955,0.941,,,,
11442465,,FALSE POSITIVE,33.93373447,0,0.812,14.561,8.50E+03,7.34,8.11,236.1,5040,4.628,-0.24,0.705,0.782,,,,
12110942,Kepler-680 b,CONFIRMED,3.689920099,0,0.151,2.6557,4.27E+02,1.89,408.99,35.6,5880,4.518,-0.06,0.917,1.01,,,,
12366084,Kepler-232 b,CONFIRMED,4.431238488,0,0.405,3.15,1.01E+03,3.25,351.23,71.1,5714,4.428,0.16,1.015,1.007,,,,
12366084,Kepler-232 c,CONFIRMED,11.37936986,0,0.911,2.6255,1.02E+03,3.95,99.68,37.9,5714,4.428,0.16,1.015,1.007,,,,
12404086,Kepler-681 b,CONFIRMED,26.39432897,0,0.602,3.573,1.51E+03,3.07,13.49,48.2,5129,4.595,0.02,0.763,0.846,,,,
8395660,Kepler-106 c,CONFIRMED,13.57078281,0,0.866,3.3539,5.12E+02,2.64,89.61,88.4,5854,4.406,-0.12,1.012,0.951,,,,
9579641,Kepler-105 c,CONFIRMED,7.12594387,0,0.898,3.0014,1.92E+02,1.79,233.31,47.1,5779,4.339,-0.06,1.087,0.941,,,,
11656840,,FALSE POSITIVE,7.442652004,0,0.137,2.3078,2.44E+04,15.03,206.78,835.6,6108,4.469,-0.3,0.956,0.981,,,,
11754553,Kepler-52 c,CONFIRMED,16.38489988,0,0.001,3.0249,1.13E+03,2,8.35,28.9,4126,4.661,0.04,0.615,0.633,,,,
11754553,Kepler-52 b,CONFIRMED,7.8774163,0,0.041,2.0805,1.31E+03,2.16,22.18,38.7,4126,4.661,0.04,0.615,0.633,,,,
11754553,Kepler-52 d,CONFIRMED,36.4454001,0,0.028,4.007,1.12E+03,1.99,2.88,21.7,4126,4.661,0.04,0.615,0.633,,,,
11812062,Kepler-673 b,CONFIRMED,3.728732147,0,0.558,2.683,5.23E+03,6.02,258.34,345.2,5497,4.577,-0.1,0.809,0.907,,,,
11818800,,CANDIDATE,40.4195037,0,0.911,3.362,6.26E+03,7.51,11.29,36.9,5446,4.507,-0.54,0.781,0.714,,,,
11853255,Kepler-674 b,CONFIRMED,2.243380573,0,0.915,1.1196,8.22E+02,1.99,107.6,38.9,4149,4.698,-0.32,0.564,0.578,,,,
11909839,,FALSE POSITIVE,10.40599802,0,0.324,6.5036,1.45E+04,11.23,113.94,745.2,5746,4.393,-0.54,0.924,0.77,,,,
11918099,Kepler-675 b,CONFIRMED,2.337437946,0,0.28,1.9982,9.71E+02,2.34,311.16,82.4,5005,4.595,0.14,0.765,0.85,,,,
11918099,,CANDIDATE,7.2406612,0,1.198,0.558,5.56E+02,19.45,68.63,13.7,5005,4.595,0.14,0.765,0.85,,,,
9579641,,CANDIDATE,3.43591631,0,0.624,3.133,2.32E+01,0.55,617.61,8.7,5779,4.339,-0.06,1.087,0.941,,,,
11923270,Kepler-676 b,CONFIRMED,11.59822233,0,0.679,2.5237,2.80E+03,2.65,5.82,71,3688,4.79,0,0.473,0.503,,,,
11960862,Kepler-677 b,CONFIRMED,6.575315881,0,0.39,4.3084,2.79E+03,5.31,251.38,221.1,5992,4.415,-0.32,0.989,0.927,,,,
12020329,Kepler-678 b,CONFIRMED,7.275040844,0,0.547,7.5377,3.00E+03,4.86,113.64,312.1,5485,4.556,0.21,0.867,0.986,,,,
12066335,Kepler-231 c,CONFIRMED,19.27153892,0,0.031,2.7594,1.22E+03,1.93,5.66,37.1,4077,4.702,-0.24,0.56,0.576,,,,
12066335,Kepler-231 b,CONFIRMED,10.06524317,0,0.628,1.369,1.05E+03,1.91,13.43,30.3,4077,4.702,-0.24,0.56,0.576,,,,
12070811,Kepler-679 b,CONFIRMED,12.3935651,0,0.883,3.8896,9.17E+02,2.66,49.68,35.8,5557,4.603,-0.4,0.75,0.832,,,,
8395660,Kepler-106 e,CONFIRMED,43.84439721,0,0.852,6.802,6.15E+02,2.87,18.77,83.7,5854,4.406,-0.12,1.012,0.951,,,,
3120431,,FALSE POSITIVE,3.341913228,0,1.213,3.813,7.25E+02,21.55,268.67,39,5295,4.551,-0.02,0.811,0.853,,,,
3246984,,FALSE POSITIVE,1.626630225,0,1.26,2.1145,1.62E+03,32.43,1355.88,103.6,5735,4.41,-0.18,0.973,0.889,,,,
3342970,Kepler-234 b,CONFIRMED,2.711504086,0,0.023,3.0099,8.38E+02,3.12,960.79,64.5,6214,4.442,0.07,1.076,1.169,,,,
3342970,Kepler-234 c,CONFIRMED,7.21203748,0,0.012,4.0491,9.50E+02,3.32,260.58,51.5,6214,4.442,0.07,1.076,1.169,,,,
12459725,,FALSE POSITIVE,14.1798187,0,0.1601,2.505,4.60E+02,1.88,60.35,11.2,5799,4.539,-0.1,0.878,0.975,,,,
12470844,Kepler-233 b,CONFIRMED,8.47237911,0,0.022,2.7245,1.12E+03,2.59,75.44,47.6,5354,4.587,-0.08,0.788,0.884,,,,
12470844,Kepler-233 c,CONFIRMED,60.4189369,0,0.094,5.039,9.31E+02,2.36,5.49,20.1,5354,4.587,-0.08,0.788,0.884,,,,
12644822,Kepler-682 b,CONFIRMED,12.61190435,0,0.55,5.1497,6.11E+03,7.4,76.15,277.2,5795,4.508,-0.02,0.919,0.992,,,,
2440757,,FALSE POSITIVE,1.433769925,0,1.268,1.8868,1.98E+03,46.58,3209.29,112.6,6017,4.22,0.02,1.339,1.083,,,,
2445129,,FALSE POSITIVE,10.31872301,0,1.215,3.836,8.72E+02,28.59,139.26,38.2,5927,4.409,0.07,1.06,1.05,,,,
2713049,Kepler-683 b,CONFIRMED,2.539183147,0,0.238,2.4282,3.82E+02,2.06,743.09,38.9,5519,4.35,0.14,1.062,0.921,,,,
3114167,Kepler-684 b,CONFIRMED,6.770300385,0,0.838,2.0844,1.30E+03,2.77,102.87,50.8,5653,4.656,-0.84,0.679,0.767,,,,
3114661,,FALSE POSITIVE,0.444291966,0,1.258,2.0792,1.10E+04,27.51,2706.26,299.7,5255,4.678,-0.72,0.636,0.709,,,,
3115833,,CANDIDATE,10.181584,0,0.92,3.5089,5.74E+03,7.73,102.91,183.6,5988,4.541,-0.52,0.836,0.885,,,,
4139816,Kepler-235 d,CONFIRMED,20.06036336,0,0.556,3.3203,1.49E+03,1.96,4,35.2,3950,4.754,-0.46,0.493,0.502,,,,
4139816,Kepler-235 e,CONFIRMED,46.1842039,0,0.013,4.758,1.39E+03,1.83,1.32,26,3950,4.754,-0.46,0.493,0.502,,,,
8395660,Kepler-106 d,CONFIRMED,23.9800854,0,0.95,5.351,1.04E+02,1.31,41.94,17.1,5854,4.406,-0.12,1.012,0.951,,,,
4139816,Kepler-235 c,CONFIRMED,7.82502168,0,0.708,2.186,5.21E+02,1.2,14.05,15.9,3950,4.754,-0.46,0.493,0.502,,,,
4275191,Kepler-688 b,CONFIRMED,3.895936525,0,0.524,2.3111,8.54E+03,7.34,241.62,370.8,5557,4.592,-0.3,0.774,0.866,,,,
4476123,Kepler-689 b,CONFIRMED,22.36646466,0,0.4,5.228,9.87E+02,2.32,19.45,32.1,5395,4.615,-0.34,0.734,0.821,,,,
3351888,Kepler-685 b,CONFIRMED,1.625522174,0,0.076,2.38963,7.97E+03,9.73,1467.41,799.7,5539,4.322,0.16,1.106,0.935,,,,
3453214,,CANDIDATE,19.62034692,0,0.458,2.0038,2.17E+04,13.6,40.39,340.5,5710,4.492,-0.1,0.905,0.928,,,,
3554600,,FALSE POSITIVE,7.544039,0,1.175,6.222,3.23E+02,17.47,116.46,14.2,5657,4.567,-0.18,0.824,0.919,,,,
3641726,,CANDIDATE,9.02930689,0,0.024,3.1449,1.02E+03,2.57,77.75,53.9,5349,4.526,-0.12,0.82,0.824,,,,
3734868,,FALSE POSITIVE,10.32803571,0,0.281,7.7915,1.69E+04,13.28,119.31,636.8,5627,4.359,-0.1,1.024,0.874,,,,
3832474,Kepler-30 d,CONFIRMED,143.2063047,0,0.379,8.9302,1.06E+04,8.9,2.14,138.8,5485,4.556,0.21,0.867,0.986,,,,
8395660,Kepler-106 b,CONFIRMED,6.164876,0,0.646,3.262,5.58E+01,0.79,256.35,14.4,5854,4.406,-0.12,1.012,0.951,,,,
3832474,Kepler-30 c,CONFIRMED,60.32494216,0,0.224,6.6188,2.03E+04,12.19,6.77,347.2,5485,4.556,0.21,0.867,0.986,,,,
3832474,Kepler-30 b,CONFIRMED,29.1598615,0,0.3619,4.803,4.88E+02,1.91,17.85,11.6,5485,4.556,0.21,0.867,0.986,,,,
3836375,,FALSE POSITIVE,1.540397253,0,1.225,2.1541,8.16E+02,25.69,1105.68,38.8,5663,4.53,0.21,0.915,1.034,,,,
3838486,,FALSE POSITIVE,2.99025443,0,0.014,5.414,5.89E+02,1.7,168.45,48.5,4667,4.578,0.1,0.731,0.737,,,,
3935914,Kepler-686 b,CONFIRMED,1.594745374,0,0.514,1.9604,1.50E+04,11.3,1329.42,1009.3,5934,4.491,-0.38,0.893,0.901,,,,
3940418,,CANDIDATE,4.783002698,0,0.003,2.335,1.01E+03,2.5,145.48,70.6,5170,4.574,0.18,0.807,0.891,,,,
4049131,Kepler-687 b,CONFIRMED,20.50588921,0,0.26,4.0595,2.11E+03,3.41,17.06,78.5,4905,4.544,-0.04,0.761,0.739,,,,
4139816,Kepler-235 b,CONFIRMED,3.340218842,0,0.466,1.9104,1.63E+03,2.03,43.73,71.6,3950,4.754,-0.46,0.493,0.502,,,,
5287983,,FALSE POSITIVE,2.507089906,0,1.255,2.0067,1.34E+03,30.26,730.47,64.9,5926,4.506,-0.04,0.939,1.03,,,,
5358241,Kepler-53 b,CONFIRMED,18.64932728,0,0.08,4.4056,8.94E+02,3.12,57.13,46.1,5775,4.405,0.16,1.053,1.026,,,,
10875245,Kepler-107 c,CONFIRMED,4.90144976,0,0.529,4.1654,1.41E+02,1.7,598.74,50.6,5847,4.191,0.26,1.402,1.113,,,,
5358241,Kepler-53 d,CONFIRMED,9.75192101,0,0.949,4.793,4.18E+02,2.76,135.66,28.5,5775,4.405,0.16,1.053,1.026,,,,
5358241,Kepler-53 c,CONFIRMED,38.5576546,0,0.911,5.794,9.93E+02,4.02,21.71,39.7,5775,4.405,0.16,1.053,1.026,,,,
5358624,Kepler-428 b,CONFIRMED,3.525632539,0,0.12,2.59959,2.23E+04,11.58,213.12,1996.7,5150,4.572,0.08,0.793,0.855,,,,
4544670,,CANDIDATE,34.84398644,0,0.934,2.9315,4.52E+03,7.61,16.1,76.8,5509,4.482,-0.16,0.871,0.84,,,,
4664847,Kepler-690 b,CONFIRMED,7.748094239,0,0.517,3.5957,2.47E+03,5.52,204.39,113.2,5973,4.439,0.36,1.085,1.181,,,,
4725681,Kepler-236 c,CONFIRMED,23.96793669,0,0.416,3.827,1.18E+03,1.8,2.77,27.5,3747,4.728,0.1,0.524,0.536,,,,
4725681,Kepler-236 b,CONFIRMED,8.29561738,0,0.888,1.3421,8.24E+02,1.82,11.39,17.9,3747,4.728,0.1,0.524,0.536,,,,
4913852,Kepler-691 b,CONFIRMED,8.11437482,0,0.573,2.2736,1.56E+03,2.1,10.55,56.4,3692,4.753,0.28,0.517,0.553,,,,
4932348,,FALSE POSITIVE,38.03672948,0,0.501,4.34617,8.29E+04,27.5,14.81,1300,5575,4.521,0.36,0.932,1.051,,,,
4936180,,CANDIDATE,4.64090031,0,1.28,35.512,2.45E+03,30.09,421.08,296.9,6463,4.5,-1.66,0.826,0.786,,,,
11913073,,FALSE POSITIVE,3.747838198,0,1.121,5.0642,6.16E+02,13.65,266.76,138.2,5514,4.569,-0.04,0.826,0.926,,,,
10875245,Kepler-107 e,CONFIRMED,14.74914825,0,0.173,6.0995,4.30E+02,2.89,137.91,107.4,5847,4.191,0.26,1.402,1.113,,,,
5021899,Kepler-692 b,CONFIRMED,21.81295996,0,0.053,4.3791,1.18E+03,3.38,39.33,37.8,5601,4.41,0.08,0.999,0.934,,,,
5077629,,FALSE POSITIVE,7.91936937,0,0.733,3.3148,1.51E+04,10.34,104,389,5690,4.588,-0.4,0.776,0.852,,,,
5115978,,CANDIDATE,1.028436523,0,1.5734,1.8606,8.10E+03,72.77,3400.48,89.6,6228,4.428,-0.44,0.99,0.959,,,,
5164255,Kepler-693 b,CONFIRMED,15.37562369,0,0.692,3.3169,1.53E+04,11.01,30.54,166,4986,4.496,0.16,0.833,0.793,,,,
5252423,Kepler-237 c,CONFIRMED,8.10363271,0,0.047,3.161,8.88E+02,2.11,52.82,39.3,4861,4.574,-0.08,0.732,0.733,,,,
5252423,Kepler-237 b,CONFIRMED,4.71510843,0,0.258,2.506,4.18E+02,1.46,108.84,21.3,4861,4.574,-0.08,0.732,0.733,,,,
5272878,Kepler-694 b,CONFIRMED,6.365839713,0,0.524,2.9721,7.81E+02,2.44,165.33,70.8,5776,4.554,-0.18,0.849,0.939,,,,
5283542,,FALSE POSITIVE,5.97581754,0,0.941,3.065,9.62E+02,3.86,284.25,50.3,6108,4.471,-0.08,0.997,1.072,,,,
5649215,,FALSE POSITIVE,2.446737317,0,1.241,4.7211,1.18E+03,26.25,597.19,110.2,5764,4.548,-0.12,0.863,0.959,,,,
5651104,Kepler-695 b,CONFIRMED,3.04033046,0,0.736,1.8411,1.09E+04,8.99,257.29,568.2,5035,4.519,-0.06,0.791,0.754,,,,
5792202,Kepler-27 b,CONFIRMED,15.33528675,0,0.773,3.897,3.08E+03,5,32.67,86.6,5251,4.581,0.21,0.817,0.926,,,,
10875245,Kepler-107 d,CONFIRMED,7.95825328,0,0.706,4.377,5.00E+01,1.06,314.15,14.7,5847,4.191,0.26,1.402,1.113,,,,
5792202,Kepler-27 c,CONFIRMED,31.33046135,0,0.798,5.176,5.07E+03,6.5,12.61,117.2,5251,4.581,0.21,0.817,0.926,,,,
5370302,,FALSE POSITIVE,3.9043425,0,0.709,3.831,1.62E+04,12.28,351.05,323.4,5810,4.526,-0.06,0.898,0.989,,,,
5372966,,FALSE POSITIVE,9.286358079,0,0.377,3.49949,4.48E+04,17.61,95.03,1671.1,5670,4.523,-0.4,0.821,0.82,,,,
5376067,,FALSE POSITIVE,3.951405455,0,1.276,2.1862,2.45E+03,31.44,388.71,117.2,6046,4.539,-0.38,0.869,0.953,,,,
5436502,Kepler-238 e,CONFIRMED,23.65369415,0,0.008,8.2183,3.34E+03,7.89,67.65,266.3,5739,4.191,0.3,1.384,1.083,,,,
5436502,Kepler-238 d,CONFIRMED,13.23352214,0,0.014,6.7372,5.05E+02,3.06,146.67,49.1,5739,4.191,0.3,1.384,1.083,,,,
5436502,Kepler-238 c,CONFIRMED,6.15560285,0,0.235,4.9843,2.85E+02,2.32,406.94,35.1,5739,4.191,0.3,1.384,1.083,,,,
5436502,Kepler-238 b,CONFIRMED,2.090811305,0,0.746,3.388,1.16E+02,1.62,1718.04,19.9,5739,4.191,0.3,1.384,1.083,,,,
10875245,Kepler-107 b,CONFIRMED,3.180027898,0,0.196,3.5797,1.20E+02,1.53,1066.86,50.4,5847,4.191,0.26,1.402,1.113,,,,
5436502,Kepler-238 f,CONFIRMED,50.4467417,0,0.379,7.159,3.70E+02,2.67,24.64,19.4,5739,4.191,0.3,1.384,1.083,,,,
5456651,Kepler-239 b,CONFIRMED,11.76307164,0,0.048,2.9076,1.04E+03,2.35,33.99,48.9,4959,4.603,0.16,0.756,0.849,,,,
5456651,Kepler-239 c,CONFIRMED,56.2279271,0,0.7,3.57,8.63E+02,2.37,4.22,20.9,4959,4.603,0.16,0.756,0.849,,,,
5481416,,FALSE POSITIVE,2.384052875,0,1.178,3.0918,1.27E+03,17.06,244.87,50.5,4794,4.58,-0.22,0.701,0.683,,,,
5531576,Kepler-240 c,CONFIRMED,7.953547,0,0.3,2.6312,8.75E+02,2.25,55.37,38.4,4768,4.536,0.18,0.779,0.759,,,,
5531576,Kepler-240 b,CONFIRMED,4.14451656,0,0.004,2.3421,3.92E+02,1.48,132.08,22.8,4768,4.536,0.18,0.779,0.759,,,,
5534814,,FALSE POSITIVE,4.859386384,0,1.259,2.2757,6.04E+03,38.33,364.23,269.7,6072,4.47,-0.1,0.988,1.05,,,,
6291653,Kepler-702 b,CONFIRMED,10.52629458,0,0.644,2.5211,9.77E+03,8.24,61.16,482.3,5386,4.553,-0.2,0.793,0.82,,,,
6392727,Kepler-703 b,CONFIRMED,4.583520948,0,0.045,2.7055,3.81E+03,5.39,274.98,99.5,5815,4.54,-0.12,0.877,0.973,,,,
